,date,Hospitalizations/100k (7-day)
605,11/24/21,10.80512
606,11/25/21,10.528066
607,11/26/21,9.6969025
608,11/27/21,8.8657395
609,11/28/21,8.5886851
610,11/29/21,10.80512
611,11/30/21,9.9739569
612,12/1/21,9.97395689
613,12/2/21,10.80511996
614,12/3/21,10.52806561
615,12/4/21,12.19039175
616,12/5/21,11.9133374
617,12/6/21,9.97395689
618,12/7/21,11.08217432
619,12/8/21,10.52806561
620,12/9/21,11.08217432
621,12/10/21,11.9133374
622,12/11/21,10.52806561
623,12/12/21,10.25101125
624,12/13/21,10.52806561
625,12/14/21,8.865739458
626,12/15/21,8.865739458
627,12/16/21,7.480467668
628,12/17/21,6.649304594
629,12/18/21,6.372250235
630,12/19/21,6.372250235
631,12/20/21,6.372250235
632,12/21/21,5.818141519
633,12/22/21,5.818141519
634,12/23/21,5.264032803
635,12/24/21,5.264032803
636,12/25/21,5.541087161
637,12/26/21,6.095195877
638,12/27/21,6.372250235
639,12/28/21,7.757522026
640,12/29/21,7.20341331
641,12/30/21,9.142793816
642,12/31/21,9.419848174
643,1/1/22,11.08217432
644,1/2/22,11.35922868
645,1/3/22,12.74450047
646,1/4/22,13.02155483
647,1/5/22,15.23798969
648,1/6/22,15.51504405
649,1/7/22,16.90031584
650,1/8/22,16.90031584
651,1/9/22,16.90031584
652,1/10/22,17.1773702
653,1/11/22,17.1773702
654,1/12/22,16.34620713
655,1/13/22,15.79209841
656,1/14/22,15.51504405
657,1/15/22,14.96093534
658,1/16/22,14.40682662
659,1/17/22,16.06915277
660,1/18/22,17.45442456
661,1/19/22,16.62326148
662,1/20/22,16.90031584
663,1/21/22,17.45442456
664,22-Jan-22,18.00853327
665,23-Jan-22,18.56264199
666,1/24/22,15.51504405
667,1/25/22,15.23798969
668,1/26/22,16.06915277
669,1/27/22,18.00853327
670,1/28/22,17.73147892
671,1/29/22,17.1773702
672,1/30/22,17.1773702
673,1/31/22,17.1773702
674,2/1/22,16.62326148
675,2/2/22,15.51504405
676,2/3/22,13.57566355
677,2/4/22,13.57566355
678,2/5/22,13.57566355
679,2/6/22,11.9133374
680,2/7/22,10.80511996
681,2/8/22,10.80511996
682,2/9/22,10.80511996
683,2/10/22,9.696902532
684,2/11/22,7.20341331
685,2/12/22,6.649304594
686,2/13/22,7.20341331
687,2/14/22,7.480467668
688,2/15/22,6.372250235
689,2/16/22,6.372250235
690,2/17/22,6.095195877
691,2/18/22,7.20341331
692,2/19/22,6.649304594
693,2/20/22,7.20341331
694,2/21/22,7.20341331
695,2/22/22,6.095195877
696,2/23/22,4.986978445
697,2/24/22,4.986978445
698,2/25/22,5.818141519
699,2/26/22,5.541087161
700,2/27/22,5.264032803
701,2/28/22,4.709924087
702,3/1/22,4.709924087
703,3/2/22,5.264032803
704,3/3/22,5.264032803
705,3/4/22,3.601706655
706,3/5/22,3.324652297
707,3/6/22,2.493489223
708,3/7/22,3.047597939
709,3/8/22,3.324652297
710,3/9/22,3.047597939
711,3/10/22,2.770543581
712,3/11/22,2.493489223
713,3/12/22,3.324652297
714,3/13/22,3.878761013
715,3/14/22,2.770543581
716,3/15/22,2.770543581
717,3/16/22,2.493489223
718,3/17/22,2.770543581
719,3/18/22,3.047597939
720,3/19/22,2.216434865
721,3/20/22,1.662326148
722,3/21/22,1.939380506
723,3/22/22,1.662326148
724,3/23/22,1.662326148
